stem,class,split,group,path
bs_125,Bright scratch,train,23,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_125.jpg
bs_128,Bright scratch,train,25,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_128.jpg
bs_15,Bright scratch,train,27,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_15.jpg
bs_18,Bright scratch,train,29,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_18.jpg
bs_19,Bright scratch,train,30,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_19.jpg
bs_20,Bright scratch,train,31,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_20.jpg
bs_21,Bright scratch,train,32,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_21.jpg
bs_24,Bright scratch,train,34,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_24.jpg
bs_25,Bright scratch,train,35,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_25.jpg
bs_26,Bright scratch,train,36,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_26.jpg
bs_27,Bright scratch,train,37,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_27.jpg
bs_28,Bright scratch,train,38,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_28.jpg
bs_33,Bright scratch,train,41,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_33.jpg
bs_34,Bright scratch,train,42,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_34.jpg
bs_35,Bright scratch,train,43,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_35.jpg
bs_36,Bright scratch,train,44,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_36.jpg
bs_39,Bright scratch,train,46,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_39.jpg
bs_40,Bright scratch,train,47,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_40.jpg
bs_47,Bright scratch,train,50,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_47.jpg
bs_49,Bright scratch,train,51,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_49.jpg
bs_53,Bright scratch,train,53,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_53.jpg
bs_54,Bright scratch,train,54,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_54.jpg
bs_55,Bright scratch,train,55,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_55.jpg
bs_57,Bright scratch,train,57,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_57.jpg
bs_60,Bright scratch,train,59,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_60.jpg
bs_62,Bright scratch,train,60,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_62.jpg
bs_64,Bright scratch,train,62,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_64.jpg
bs_65,Bright scratch,train,63,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_65.jpg
bs_66,Bright scratch,train,64,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_66.jpg
bs_67,Bright scratch,train,65,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_67.jpg
bs_69,Bright scratch,train,66,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_69.jpg
bs_71,Bright scratch,train,68,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_71.jpg
bs_72,Bright scratch,train,69,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_72.jpg
bs_74,Bright scratch,train,71,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_74.jpg
bs_79,Bright scratch,train,73,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_79.jpg
bs_80,Bright scratch,train,74,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_80.jpg
bs_81,Bright scratch,train,75,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_81.jpg
bs_84,Bright scratch,train,77,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_84.jpg
bs_85,Bright scratch,train,78,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_85.jpg
bs_89,Bright scratch,train,80,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_89.jpg
bs_91,Bright scratch,train,81,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_91.jpg
bs_93,Bright scratch,train,82,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_93.jpg
bs_95,Bright scratch,train,84,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_95.jpg
bs_97,Bright scratch,train,85,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_97.jpg
bs_99,Bright scratch,train,87,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_99.jpg
bs_03,Bright scratch,val,2,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_03.jpg
bs_10,Bright scratch,val,7,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_10.jpg
bs_126,Bright scratch,val,24,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_126.jpg
bs_14,Bright scratch,val,26,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_14.jpg
bs_16,Bright scratch,val,28,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_16.jpg
bs_29,Bright scratch,val,39,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_29.jpg
bs_70,Bright scratch,val,67,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_70.jpg
bs_73,Bright scratch,val,70,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_73.jpg
bs_87,Bright scratch,val,79,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Bright scratch\bs_87.jpg
crease_15,Crease,test,97,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_15.jpg
crease_17,Crease,test,98,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_17.jpg
crease_19,Crease,test,100,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_19.jpg
crease_22,Crease,test,103,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_22.jpg
crease_24,Crease,test,105,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_24.jpg
crease_34,Crease,test,112,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_34.jpg
crease_42,Crease,test,118,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_42.jpg
crease_56,Crease,test,130,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_56.jpg
crease_57,Crease,test,131,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_57.jpg
crease_70,Crease,test,138,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_70.jpg
crease_71,Crease,test,139,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_71.jpg
crease_01,Crease,train,88,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_01.jpg
crease_03,Crease,train,89,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_03.jpg
crease_06,Crease,train,90,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_06.jpg
crease_08,Crease,train,91,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_08.jpg
crease_10,Crease,train,92,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_10.jpg
crease_11,Crease,train,93,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_11.jpg
crease_12,Crease,train,94,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_12.jpg
crease_13,Crease,train,95,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_13.jpg
crease_14,Crease,train,96,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_14.jpg
crease_20,Crease,train,101,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_20.jpg
crease_21,Crease,train,102,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_21.jpg
crease_25,Crease,train,106,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_25.jpg
crease_26,Crease,train,107,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_26.jpg
crease_28,Crease,train,108,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_28.jpg
crease_30,Crease,train,109,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_30.jpg
crease_32,Crease,train,110,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_32.jpg
crease_33,Crease,train,111,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_33.jpg
crease_35,Crease,train,113,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_35.jpg
crease_36,Crease,train,114,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_36.jpg
crease_38,Crease,train,115,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_38.jpg
crease_39,Crease,train,116,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_39.jpg
crease_41,Crease,train,117,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_41.jpg
crease_43,Crease,train,119,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_43.jpg
crease_44,Crease,train,120,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_44.jpg
crease_48,Crease,train,122,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_48.jpg
crease_49,Crease,train,123,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_49.jpg
crease_50,Crease,train,124,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_50.jpg
crease_51,Crease,train,125,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_51.jpg
crease_52,Crease,train,126,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_52.jpg
crease_53,Crease,train,127,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_53.jpg
crease_54,Crease,train,128,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_54.jpg
crease_55,Crease,train,129,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_55.jpg
crease_61,Crease,train,133,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_61.jpg
crease_63,Crease,train,134,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_63.jpg
crease_64,Crease,train,135,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_64.jpg
crease_65,Crease,train,136,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_65.jpg
crease_18,Crease,val,99,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_18.jpg
crease_23,Crease,val,104,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_23.jpg
crease_46,Crease,val,121,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_46.jpg
crease_59,Crease,val,132,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_59.jpg
crease_67,Crease,val,137,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crease\crease_67.jpg
cg_115,Crescent gap,test,156,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crescent gap\cg_115.jpg
cg_126,Crescent gap,test,162,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crescent gap\cg_126.jpg
cg_127,Crescent gap,test,163,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crescent gap\cg_127.jpg
cg_145,Crescent gap,test,177,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crescent gap\cg_145.jpg
cg_149,Crescent gap,test,180,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crescent gap\cg_149.jpg
cg_151,Crescent gap,test,182,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crescent gap\cg_151.jpg
cg_157,Crescent gap,test,187,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crescent gap\cg_157.jpg
cg_16,Crescent gap,test,189,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crescent gap\cg_16.jpg
cg_176,Crescent gap,test,202,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crescent gap\cg_176.jpg
cg_19,Crescent gap,test,212,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crescent gap\cg_19.jpg
cg_20,Crescent gap,test,219,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crescent gap\cg_20.jpg
cg_204,Crescent gap,test,224,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crescent gap\cg_204.jpg
cg_207,Crescent gap,test,226,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crescent gap\cg_207.jpg
cg_21,Crescent gap,test,229,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crescent gap\cg_21.jpg
cg_213,Crescent gap,test,233,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crescent gap\cg_213.jpg
cg_219,Crescent gap,test,238,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crescent gap\cg_219.jpg
cg_226,Crescent gap,test,241,C:\Users\anmol\OneDrive\Desktop\Steel_Surface_Defect_NEU_DET-DATASET\SteelDefectX\train_by_class\Crescent gap\cg_226.jpg
